p_relax,avg_qber
0.0,0.0
0.01,0.005957444953568732
0.02,0.012138497473560985
0.03,0.01439674339778726
0.04,0.02051869198838329
0.05,0.02421618056110542
0.06,0.03099341778855353
0.07,0.034973243374493625
0.08,0.03791979893383347
0.09,0.044957307830511675
0.1,0.047229934376011265
0.11,0.05614042299200901
0.12,0.05834813156685389
0.13,0.06882513949104876
0.14,0.07095892732372121
0.15,0.07829651598639784
0.16,0.08391496285190289
0.17,0.08166696490995021
0.18,0.08444708569305527
0.19,0.09693939957793134
0.2,0.10249101154190958
0.21,0.10254922550878834
0.22,0.10613002433509604
0.23,0.11231322480415293
0.24,0.11496912578287619
0.25,0.12366775275932751
0.26,0.13089518685444423
0.27,0.13553297438795792
0.28,0.14225701780679073
0.29,0.13884622575071712
0.3,0.14935435614351805
