qubit,readout_error
0,0.010498046875
1,0.0047607421875
2,0.0050048828125
3,0.0069580078125
4,0.024658203125
5,0.0047607421875
6,0.005126953125
7,0.0069580078125
8,0.0135498046875
9,0.011962890625
10,0.02001953125
11,0.0279541015625
12,0.0030517578125
13,0.0050048828125
14,0.0064697265625
15,0.008544921875
16,0.0096435546875
17,0.00830078125
18,0.0252685546875
19,0.003662109375
20,0.0118408203125
21,0.0091552734375
22,0.01171875
23,0.0943603515625
24,0.0186767578125
25,0.0146484375
26,0.1041259765625
27,0.0079345703125
28,0.0091552734375
29,0.2286376953125
30,0.02197265625
31,0.06689453125
32,0.024169921875
33,0.0123291015625
34,0.0048828125
35,0.0208740234375
36,0.01025390625
37,0.0478515625
38,0.027587890625
39,0.0355224609375
40,0.01806640625
41,0.0120849609375
42,0.0069580078125
43,0.01611328125
44,0.0057373046875
45,0.0108642578125
46,0.0216064453125
47,0.009033203125
48,0.0782470703125
49,0.00830078125
50,0.0145263671875
51,0.0640869140625
52,0.0169677734375
53,0.0118408203125
54,0.009765625
55,0.021728515625
56,0.004638671875
57,0.114013671875
58,0.0306396484375
59,0.0225830078125
60,0.03857421875
61,0.015625
62,0.0084228515625
63,0.0181884765625
64,0.01171875
65,0.0255126953125
66,0.0076904296875
67,0.0457763671875
68,0.0186767578125
69,0.0220947265625
70,0.0107421875
71,0.05517578125
72,0.0098876953125
73,0.0177001953125
74,0.0296630859375
75,0.003662109375
76,0.0118408203125
77,0.010009765625
78,0.005615234375
79,0.14990234375
80,0.036376953125
81,0.0516357421875
82,0.4990234375
83,0.2347412109375
84,0.0135498046875
85,0.0096435546875
86,0.0147705078125
87,0.0069580078125
88,0.015625
89,0.04736328125
90,0.020263671875
91,0.0087890625
92,0.010498046875
93,0.0360107421875
94,0.0106201171875
95,0.00927734375
96,0.0733642578125
97,0.0089111328125
98,0.0042724609375
99,0.0118408203125
100,0.01318359375
101,0.0419921875
102,0.0247802734375
103,0.145751953125
104,0.0111083984375
105,0.0062255859375
106,0.01220703125
107,0.0201416015625
108,0.0196533203125
109,0.0057373046875
110,0.011962890625
111,0.01318359375
112,0.0067138671875
113,0.2984619140625
114,0.0086669921875
115,0.0101318359375
116,0.016357421875
117,0.013916015625
118,0.0203857421875
119,0.1787109375
120,0.0147705078125
121,0.0318603515625
122,0.0064697265625
123,0.0177001953125
124,0.009033203125
125,0.036865234375
126,0.009765625
127,0.027099609375
128,0.009521484375
129,0.0146484375
130,0.4984130859375
131,0.008056640625
132,0.0086669921875
133,0.0252685546875
134,0.0068359375
135,0.0224609375
136,0.0084228515625
137,0.0078125
138,0.005859375
139,0.0086669921875
140,0.0103759765625
141,0.010498046875
142,0.0111083984375
143,0.0106201171875
144,0.0142822265625
145,0.04541015625
146,0.0059814453125
147,0.00830078125
148,0.0098876953125
149,0.0118408203125
150,0.0126953125
151,0.0057373046875
152,0.03466796875
153,0.114501953125
154,0.01025390625
155,0.0072021484375
