qubit,t1_us,t2_us,frequency_ghz
0,280.8799257801244,42.749373740099834,
1,141.43553274388535,120.43228627011703,
2,284.9657990492261,65.90962921470086,
3,247.7148605140004,246.4872506784912,
4,194.58624955227887,120.1756132117073,
5,126.10605878031036,93.48322240380658,
6,195.02468254129275,158.43617487900408,
7,309.48410673102336,98.82661134545614,
8,201.05036594007214,88.25924735139004,
9,136.13448001384796,117.06774621014097,
10,190.99383295017176,114.91492586978488,
11,289.34086658971506,44.871152844066074,
12,25.07839532021416,16.23645845612794,
13,168.75011084439976,190.40725564194847,
14,296.77854566677877,96.6896634104328,
15,317.02003517800114,31.44656468411541,
16,42.866845644735825,40.729194957200434,
17,250.3973938347167,11.11067911589743,
18,113.33299562798868,80.2671896335191,
19,140.7611219814406,67.50449292663893,
20,62.75524068544552,52.23742904540753,
21,164.84356025646895,87.52754938772335,
22,190.74922327733222,17.820282715045995,
23,97.18189533722173,64.85735189485203,
24,80.99073282390142,37.61721710471481,
25,138.44379725169603,22.340917651312502,
26,7.0108271252041305,6.198807163985904,
27,142.8564500315607,114.20409555558362,
28,124.9420878909982,109.87546316293056,
29,35.02566425664459,39.6111147962999,
30,252.9929866778674,91.17785360251554,
31,183.38877926108327,61.07673516275592,
32,247.32537760003297,48.28229046437431,
33,142.17146318721578,128.47652485549548,
34,158.56747571178448,134.69680302805412,
35,343.1565726532411,355.57745124629383,
36,135.1714580544508,86.39965582193882,
37,144.88274224176163,25.25502527735562,
38,121.5898726499541,41.87789867092243,
39,162.75592530864444,98.77219712770697,
40,206.68839183661487,104.73080420891453,
41,184.47835218327992,43.19769741179462,
42,117.04015064648921,43.27853235914574,
43,268.76334788822066,60.93576398110031,
44,198.4656531560262,170.28940800008607,
45,88.76511140436627,101.64968463200051,
46,232.61902634584274,70.03545861723507,
47,158.94267299561318,110.50214407172058,
48,139.81802003772813,117.61781673997966,
49,182.84897041074385,182.9193550073898,
50,94.08780748031978,83.74096948114529,
51,117.9957654319576,122.05675565229876,
52,113.70918899305298,99.52464366593901,
53,233.79049633975154,228.54727298881585,
54,257.36300733658635,268.1559567417491,
55,246.7896066752456,75.81161988434002,
56,220.71114880814528,95.21466593322923,
57,197.98589241289554,107.9592391883836,
58,260.5956981326545,208.36970624390742,
59,176.88979200706288,147.81402128319868,
60,186.09283432928862,22.6797896248626,
61,358.46682617957896,5.576595256860453,
62,134.59886165420716,66.55467400129048,
63,174.10751053070933,151.91079854639102,
64,265.2677632429989,112.02797108469422,
65,302.5585689543933,64.85289005684272,
66,124.44413727215287,83.3233359447391,
67,199.85340638389903,108.06340523255547,
68,112.11462626677125,26.554733419470164,
69,144.76459739920367,79.69995313925811,
70,102.62182325486935,20.284840836675407,
71,129.83813693405503,126.82799756032423,
72,137.199175673119,44.4924621190959,
73,186.978990868996,194.62678821057,
74,109.02585329888636,14.019679542732677,
75,307.7424671068003,354.9009190330182,
76,66.90475902084057,51.31560811008431,
77,295.62719410371915,120.83734288478523,
78,62.17233309473571,48.485380081034414,
79,143.1223953942333,39.57484829288871,
80,123.88564690168279,33.73070454603344,
81,259.34751064505133,301.4816596188691,
82,5.4550183924917315,6.440762177221647,
83,97.92609270339742,75.0284912767108,
84,187.89461268501455,161.4184690203329,
85,175.1016870862594,117.21601583026292,
86,130.8262699696106,28.405166876549558,
87,81.25619647149999,101.86209695338391,
88,284.0117039368776,173.5489386436829,
89,212.59955772361138,225.71655456107624,
90,66.66246908897052,78.684976281345,
91,114.81611417115953,155.97448015766864,
92,283.85433543482753,225.20717904337505,
93,198.77288609916883,172.41359846222497,
94,245.9243850071411,249.6124066609962,
95,288.4246447721066,373.55975815748826,
96,119.63763437335233,60.75281235521479,
97,259.379980163056,77.7296125528005,
98,241.26382531930204,61.821081686342545,
99,115.6145313824428,36.877529920052986,
100,114.13826803948228,146.40239106482272,
101,131.20287484690027,71.9602796117891,
102,99.59875195249055,87.76819725182722,
103,111.9973611010605,48.29187317268393,
104,251.91280964031645,162.24644539850297,
105,130.61543287370475,111.96262766807467,
106,70.65981558292837,23.12728510685465,
107,304.36889923735896,202.87496003704496,
108,27.637964435361795,17.926834931976156,
109,289.112979180225,143.47363907166465,
110,310.66099014090184,242.19284788248416,
111,181.78696965984798,90.49397322227765,
112,264.69280395811876,171.8271244005339,
113,186.26193933369692,89.48945599617846,
114,353.41638092474363,425.3078379200449,
115,194.98464021847857,79.48600501886769,
116,70.67671086610514,81.91592421993289,
117,160.3721786362609,20.646772222138395,
118,197.38752767562843,79.2400176584749,
119,211.4115973396586,75.6274732378708,
120,232.63409287694964,73.17276866258852,
121,275.2246007747683,294.13605805079743,
122,241.78619603376185,36.103816681249846,
123,210.1620644358083,94.27135514592125,
124,141.70549837492513,136.13514203055723,
125,173.68286105254035,60.64637711184325,
126,162.77260192317516,32.93383534899965,
127,226.45657103816725,21.51048266206284,
128,230.9537646817709,20.648382840680956,
129,274.18199004115115,272.4505266303589,
130,322.9729925580698,16.288825214895343,
131,280.42073867335466,177.77009396853123,
132,322.72534145359845,108.30911581972283,
133,362.477389115074,238.91427640665603,
134,238.12022584212158,124.0707208478186,
135,421.82007691729837,92.94670621695452,
136,255.35808315610475,160.7013745061389,
137,104.68785884485605,43.54258574794374,
138,239.37386488362188,116.19415217176542,
139,174.71003940240354,199.0056588197581,
140,333.84141973650907,50.54976769342449,
141,175.11495486902575,110.88346874279752,
142,116.92474678842262,84.16351810700763,
143,154.74021141473426,52.593127481502236,
144,85.80933334836224,43.734049884239525,
145,167.36411974377754,40.402790271530826,
146,167.66905331701957,60.914687328279385,
147,275.58708108659266,134.9714609906589,
148,279.31672344546763,148.44154989325807,
149,188.79609250866233,107.23954406688517,
150,142.2010152927361,108.18645570864516,
151,176.63440841646994,66.74052353301403,
152,237.8848594190967,142.35589085737251,
153,164.47343140803497,146.6310285794155,
154,230.4393988978936,18.935953832185024,
155,325.25478828352266,143.62685044792536,
2026-06-07T05:14:13.824043+00:00,0,283.47236420308536,37.05370070855467,
2026-06-07T05:14:13.824043+00:00,1,187.78438797125517,161.59314486228223,
2026-06-07T05:14:13.824043+00:00,2,247.81717795701456,303.8251288965486,
2026-06-07T05:14:13.824043+00:00,3,233.01033934890486,200.99281088690176,
2026-06-07T05:14:13.824043+00:00,4,201.12050772518216,249.8327759225831,
2026-06-07T05:14:13.824043+00:00,5,212.30824136573227,163.8583853929127,
