qubit,t1_us,t2_us,readout_error,p_relax,p_dephase,p_readout,predicted_qber_linear,predicted_qber_rf,predicted_qber_nn
0,280.8799257801244,42.749373740099834,0.010498046875,0.006574094977566225,0.11889562831630984,0.010498046875,0.07987896527058436,0.07350686443547373,0.1185328759189388
1,141.43553274388535,120.43228627011705,0.0047607421875,0.02597272291567152,0.03363392071259317,0.0047607421875,0.050480106574511935,0.04255389740732417,0.10897565880802515
2,284.9657990492261,65.90962921470086,0.0050048828125,0.00629198357521478,0.07244774424043629,0.0050048828125,0.058004361956809546,0.051823693222098635,0.10990019752630675
3,247.7148605140004,246.4872506784912,0.0069580078125,0.0092083467639827,0.009638753724890236,0.0069580078125,0.03642298030632862,0.033350053464533236,0.1020936963783814
4,194.58624955227887,120.1756132117073,0.024658203125,0.01529969519924184,0.03373413328765164,0.024658203125,0.06071005912893418,0.04473810283287064,0.10472723422783109
5,126.10605878031036,93.48322240380658,0.0047607421875,0.030722595482511147,0.04715988674903175,0.0047607421875,0.05749129429565693,0.04611892857783748,0.11174272871798019
6,195.02468254129275,158.43617487900408,0.005126953125,0.015235846701029187,0.022379271301534456,0.005126953125,0.04230816658143892,0.03955547899936509,0.10521214270708479
7,309.48410673102336,98.82661134545614,0.0069580078125,0.004755568396601493,0.043891673222263984,0.0069580078125,0.04785968090978095,0.0424808797818648,0.10564203695811467
8,201.05036594007217,88.25924735139004,0.0135498046875,0.014386546843528716,0.05073762376784197,0.0135498046875,0.058910647115639495,0.04930058607273083,0.10788953539279147
9,136.13448001384796,117.06774621014095,0.011962890625,0.02749426737267588,0.034982407605237506,0.011962890625,0.056750830916386,0.04453299635394255,0.10873973138089815
10,190.99383295017176,114.91492586978488,0.02001953125,0.01583389582485861,0.035886671735145835,0.02001953125,0.05841102440438167,0.04324925386229353,0.10559234987561425
11,289.34086658971506,44.871152844066074,0.0279541015625,0.005998738023183622,0.11264527744543051,0.0279541015625,0.08979058213919064,0.08460677532164552,0.11765102504038655
12,25.07839532021416,16.23645845612794,0.0030517578125,0.20726693664482462,0.33473846292690523,0.0030517578125,0.23429640520470044,0.22093267248457737,0.23431810348386212
13,168.75011084439976,190.40725564194847,0.0050048828125,0.019648006044275704,0.01639073495779062,0.0050048828125,0.041614041948930106,0.0379347600242516,0.10536677934935176
14,296.77854566677877,96.6896634104328,0.0064697265625,0.005520059056619942,0.045155365125200894,0.0064697265625,0.0482871629804438,0.0430881389925715,0.10601747626317021
15,317.02003517800114,31.44656468411541,0.008544921875,0.004331084817220769,0.16640558555336746,0.008544921875,0.09584785095133998,0.10523890444930382,0.13019402515619893
16,42.866845644735825,40.729194957200434,0.0096435546875,0.11582065866357041,0.12545187728057355,0.0096435546875,0.12366246037225052,0.12455718107723712,0.1578373203659702
17,250.3973938347167,11.11067911589743,0.00830078125,0.008969338757535462,0.49529545001174236,0.00830078125,0.22365427473274066,0.1696182748098719,0.20035071414273664
