,qubit,t1_us,t2_us,frequency_ghz
count,156.0,156.0,156.0,0.0
mean,77.5,188.46913581460853,105.88920581942003,
std,45.17742799230607,81.89983661359251,78.05017959060538,
min,0.0,5.4550183924917315,5.576595256860453,
25%,38.75,128.90511739561887,48.289477495606526,
50%,77.5,183.11887483591357,89.99171460922805,
75%,116.25,250.77624778611664,137.69032923726104,
max,155.0,421.8200769172984,425.3078379200449,
