run_id,total_transmissions,sifted_length,errors,qber
1,500,251,1,0.00398406374501992
2,500,267,2,0.00749063670411985
3,500,261,1,0.0038314176245210726
5,500,254,0,0.0
4,500,238,3,0.012605042016806723
