p_relax,p_dephase,p_readout,avg_qber
0.03794134415744183,0.1658129946457086,0.09434482993249908,0.17065532888576046
0.010222855942609443,0.27334372625145675,0.09609567143192174,0.20379169963174543
0.13137231116369288,0.11439255950375722,0.03918184965902863,0.14929750070342693
0.13399243386933374,0.07869534447732236,0.03203509185979291,0.1308577521759653
0.15362204846817987,0.219811702440218,0.09079688827446168,0.22792381301374265
0.1432775060650865,0.270011975754694,0.021203370905262676,0.1976768931232774
0.2650240276109347,0.2851943107599844,0.003579027795731826,0.24539327882597842
0.06739004403239757,0.11493727328210175,0.09593397455673695,0.17561369597559623
0.12352699441157364,0.001467086261578765,0.03257124155924398,0.09411900204930082
0.06608144922304066,0.1116585638353766,0.08058999224933812,0.15281714493722773
0.10254441964921593,0.03549515816156779,0.04575607277798795,0.10972021640682976
0.039147659374820676,0.058358166035485645,0.09759753246058994,0.13295971726185035
0.21938725215707586,0.058352729028861926,0.04289412634749162,0.16121363201199457
0.1651708440713938,0.1494849883372239,0.05309075574176156,0.17606566554958858
0.18198536110329466,0.027788833445735982,0.056982043368827374,0.14614296650377753
0.2456726532455622,0.0737975168566466,0.09817119758267101,0.22458745690584841
0.2631665684835035,0.25877896938741735,0.0657917561876896,0.2594090961228269
0.07963916007555982,0.2945120859141736,0.008050636785735754,0.18186091962363798
0.022507252268799783,0.281406714523656,0.09893394867268984,0.21870381151121973
0.22972724126259098,0.1305357366018233,0.09770585091349238,0.22666510654814243
0.1280151729719747,0.1683302445672066,0.07472631515526533,0.18252555974561718
0.12872420671950893,0.13591865105481526,0.027812846502270096,0.1422960905122806
0.13034899516774048,0.13112317111838576,0.013641113522006587,0.13367813760059483
0.170735905864688,0.02130818819541812,0.040215047037396714,0.13094736298355608
0.06442303944060133,0.27882997433506845,0.05191325609010852,0.1986171457821718
0.18793158606403917,0.23332391894537174,0.08110286478321808,0.24639398850332245
0.2265155127719783,0.2536851504347624,0.09573888698104266,0.2762638268101026
0.11424279902866522,0.22198078478674813,0.05405601380920503,0.19167478407327787
0.18410728504155535,0.1885837145025626,0.09494148960366174,0.238186681525208
0.2225148617805091,0.05572205173621148,0.015616782914921003,0.1398367143530987
0.10601201091779612,0.2560826664313148,0.06789710775640954,0.21069592369426937
0.2387198188753476,0.0426732509239039,0.06132043032066307,0.16956899329328645
